cluster_method,threshold,cluster_parameter,weighted_entropy,relative_num_clusters,weighted_dissimilarity
agglomerative,0.0,4818,999,0.9157954761452195,0.013816118240356445
agglomerative,0.0,4873,999,0.926249762402585,0.012338101863861084
agglomerative,0.0,4929,999,0.9368941265919026,0.010680198669433594
agglomerative,0.0,4984,999,0.9473484128492682,0.009021639823913574
agglomerative,0.0,5040,999,0.9579927770385859,0.00724184513092041
agglomerative,0.0,5095,999,0.9684470632959513,0.0052343010902404785
agglomerative,0.0,5150,999,0.9789013495533169,0.0029491186141967773
agglomerative,0.0,5206,999,0.9895457137426344,0.000409543514251709
agglomerative,0.0,5261,999,1.0,0.0
agglomerative,0.01,1,999,0.00019007793195210037,0.5577239990234375
agglomerative,0.01,56,999,0.01064436418931762,0.40802115201950073
agglomerative,0.01,112,999,0.02128872837863524,0.34705406427383423
agglomerative,0.01,167,999,0.03174301463600076,0.31969451904296875
agglomerative,0.01,222,999,0.04219730089336628,0.3009956479072571
agglomerative,0.01,278,999,0.0528416650826839,0.28765755891799927
agglomerative,0.01,333,999,0.06329595134004942,0.27822232246398926
agglomerative,0.01,389,999,0.07394031552936704,0.26988399028778076
agglomerative,0.01,444,999,0.08439460178673255,0.26128411293029785
agglomerative,0.01,499,999,0.09484888804409808,0.25438392162323
agglomerative,0.01,555,999,0.1054932522334157,0.247738778591156
agglomerative,0.01,610,999,0.11594753849078122,0.24092888832092285
agglomerative,0.01,665,999,0.12640182474814673,0.23447483777999878
agglomerative,0.01,721,999,0.13704618893746437,0.22737926244735718
agglomerative,0.01,776,999,0.14750047519482987,0.22208213806152344
agglomerative,0.01,832,999,0.1581448393841475,0.21480590105056763
agglomerative,0.01,887,999,0.16859912564151303,0.21081817150115967
agglomerative,0.01,942,999,0.17905341189887855,0.20681285858154297
agglomerative,0.01,998,999,0.18969777608819616,0.20176690816879272
agglomerative,0.01,1053,999,0.20015206234556168,0.19738554954528809
agglomerative,0.01,1108,999,0.2106063486029272,0.19374418258666992
agglomerative,0.01,1164,999,0.2212507127922448,0.18903589248657227
agglomerative,0.01,1219,999,0.23170499904961034,0.18362587690353394
agglomerative,0.01,1274,999,0.24215928530697586,0.18021810054779053
agglomerative,0.01,1330,999,0.25280364949629347,0.1761791706085205
agglomerative,0.01,1385,999,0.263257935753659,0.17245244979858398
agglomerative,0.01,1441,999,0.2739022999429766,0.16738677024841309
agglomerative,0.01,1496,999,0.28435658620034215,0.16434210538864136
agglomerative,0.01,1551,999,0.29481087245770765,0.16124027967453003
agglomerative,0.01,1607,999,0.3054552366470253,0.15726375579833984
agglomerative,0.01,1662,999,0.3159095229043908,0.15383416414260864
agglomerative,0.01,1717,999,0.32636380916175634,0.14979779720306396
agglomerative,0.01,1773,999,0.3370081733510739,0.1462957262992859
agglomerative,0.01,1828,999,0.34746245960843947,0.1435028314590454
agglomerative,0.01,1884,999,0.3581068237977571,0.1399674415588379
agglomerative,0.01,1939,999,0.3685611100551226,0.13629919290542603
agglomerative,0.01,1994,999,0.3790153963124881,0.13353180885314941
agglomerative,0.01,2050,999,0.38965976050180573,0.13030380010604858
agglomerative,0.01,2105,999,0.4001140467591713,0.12737363576889038
agglomerative,0.01,2160,999,0.4105683330165368,0.12440437078475952
agglomerative,0.01,2216,999,0.4212126972058544,0.12050288915634155
agglomerative,0.01,2271,999,0.4316669834632199,0.1175183653831482
agglomerative,0.01,2326,999,0.44212126972058546,0.11465060710906982
agglomerative,0.01,2382,999,0.45276563390990304,0.1119648814201355
agglomerative,0.01,2437,999,0.4632199201672686,0.10917001962661743
agglomerative,0.01,2493,999,0.4738642843565862,0.10622227191925049
agglomerative,0.01,2548,999,0.4843185706139517,0.10317736864089966
agglomerative,0.01,2603,999,0.4947728568713172,0.10010296106338501
agglomerative,0.01,2659,999,0.5054172210606349,0.09711021184921265
agglomerative,0.01,2714,999,0.5158715073180004,0.09375131130218506
agglomerative,0.01,2769,999,0.5263257935753659,0.0907248854637146
agglomerative,0.01,2825,999,0.5369701577646835,0.08808696269989014
agglomerative,0.01,2880,999,0.547424444022049,0.08492696285247803
agglomerative,0.01,2936,999,0.5580688082113666,0.08232557773590088
agglomerative,0.01,2991,999,0.5685230944687322,0.0794907808303833
agglomerative,0.01,3046,999,0.5789773807260977,0.07675081491470337
agglomerative,0.01,3102,999,0.5896217449154153,0.07412564754486084
agglomerative,0.01,3157,999,0.6000760311727809,0.07114219665527344
agglomerative,0.01,3212,999,0.6105303174301464,0.06834566593170166
agglomerative,0.01,3268,999,0.621174681619464,0.06537818908691406
agglomerative,0.01,3323,999,0.6316289678768295,0.06254845857620239
agglomerative,0.01,3378,999,0.642083254134195,0.05993276834487915
agglomerative,0.01,3434,999,0.6527276183235127,0.057363927364349365
agglomerative,0.01,3489,999,0.6631819045808781,0.05474412441253662
agglomerative,0.01,3545,999,0.6738262687701958,0.052416443824768066
agglomerative,0.01,3600,999,0.6842805550275614,0.05016261339187622
agglomerative,0.01,3655,999,0.6947348412849268,0.048027634620666504
agglomerative,0.01,3711,999,0.7053792054742445,0.045967280864715576
agglomerative,0.01,3766,999,0.7158334917316099,0.043714284896850586
agglomerative,0.01,3821,999,0.7262877779889755,0.041697025299072266
agglomerative,0.01,3877,999,0.7369321421782931,0.03981727361679077
agglomerative,0.01,3932,999,0.7473864284356586,0.03797781467437744
agglomerative,0.01,3988,999,0.7580307926249762,0.03635376691818237
agglomerative,0.01,4043,999,0.7684850788823417,0.03449881076812744
agglomerative,0.01,4098,999,0.7789393651397073,0.03274446725845337
agglomerative,0.01,4154,999,0.7895837293290249,0.031235218048095703
agglomerative,0.01,4209,999,0.8000380155863904,0.029814958572387695
agglomerative,0.01,4264,999,0.810492301843756,0.028199195861816406
agglomerative,0.01,4320,999,0.8211366660330736,0.026737570762634277
agglomerative,0.01,4375,999,0.8315909522904391,0.025334537029266357
agglomerative,0.01,4430,999,0.8420452385478046,0.02358400821685791
agglomerative,0.01,4486,999,0.8526896027371222,0.022075235843658447
agglomerative,0.01,4541,999,0.8631438889944877,0.020731449127197266
agglomerative,0.01,4597,999,0.8737882531838054,0.019293785095214844
agglomerative,0.01,4652,999,0.8842425394411709,0.01798766851425171
agglomerative,0.01,4707,999,0.8946968256985364,0.016705751419067383
agglomerative,0.01,4763,999,0.9053411898878541,0.015252470970153809
agglomerative,0.01,4818,999,0.9157954761452195,0.013816118240356445
agglomerative,0.01,4873,999,0.926249762402585,0.012338101863861084
agglomerative,0.01,4929,999,0.9368941265919026,0.010680198669433594
agglomerative,0.01,4984,999,0.9473484128492682,0.009021639823913574
agglomerative,0.01,5040,999,0.9579927770385859,0.00724184513092041
agglomerative,0.01,5095,999,0.9684470632959513,0.0052343010902404785
agglomerative,0.01,5150,999,0.9789013495533169,0.0029491186141967773
agglomerative,0.01,5206,999,0.9895457137426344,0.000409543514251709
agglomerative,0.01,5261,999,1.0,0.0
agglomerative,0.02,1,999,0.00019007793195210037,0.5577239990234375
agglomerative,0.02,56,999,0.01064436418931762,0.40802115201950073
agglomerative,0.02,112,999,0.02128872837863524,0.34705406427383423
agglomerative,0.02,167,999,0.03174301463600076,0.31969451904296875
agglomerative,0.02,222,999,0.04219730089336628,0.3009956479072571
agglomerative,0.02,278,999,0.0528416650826839,0.28765755891799927
agglomerative,0.02,333,999,0.06329595134004942,0.27822232246398926
agglomerative,0.02,389,999,0.07394031552936704,0.26988399028778076
agglomerative,0.02,444,999,0.08439460178673255,0.26128411293029785
agglomerative,0.02,499,999,0.09484888804409808,0.25438392162323
agglomerative,0.02,555,999,0.1054932522334157,0.247738778591156
agglomerative,0.02,610,999,0.11594753849078122,0.24092888832092285
agglomerative,0.02,665,999,0.12640182474814673,0.23447483777999878
agglomerative,0.02,721,999,0.13704618893746437,0.22737926244735718
agglomerative,0.02,776,999,0.14750047519482987,0.22208213806152344
agglomerative,0.02,832,999,0.1581448393841475,0.21480590105056763
agglomerative,0.02,887,999,0.16859912564151303,0.21081817150115967
agglomerative,0.02,942,999,0.17905341189887855,0.20681285858154297
agglomerative,0.02,998,999,0.18969777608819616,0.20176690816879272
agglomerative,0.02,1053,999,0.20015206234556168,0.19738554954528809
agglomerative,0.02,1108,999,0.2106063486029272,0.19374418258666992
agglomerative,0.02,1164,999,0.2212507127922448,0.18903589248657227
agglomerative,0.02,1219,999,0.23170499904961034,0.18362587690353394
agglomerative,0.02,1274,999,0.24215928530697586,0.18021810054779053
agglomerative,0.02,1330,999,0.25280364949629347,0.1761791706085205
agglomerative,0.02,1385,999,0.263257935753659,0.17245244979858398
agglomerative,0.02,1441,999,0.2739022999429766,0.16738677024841309
agglomerative,0.02,1496,999,0.28435658620034215,0.16434210538864136
agglomerative,0.02,1551,999,0.29481087245770765,0.16124027967453003
agglomerative,0.02,1607,999,0.3054552366470253,0.15726375579833984
agglomerative,0.02,1662,999,0.3159095229043908,0.15383416414260864
agglomerative,0.02,1717,999,0.32636380916175634,0.14979779720306396
agglomerative,0.02,1773,999,0.3370081733510739,0.1462957262992859
agglomerative,0.02,1828,999,0.34746245960843947,0.1435028314590454
agglomerative,0.02,1884,999,0.3581068237977571,0.1399674415588379
agglomerative,0.02,1939,999,0.3685611100551226,0.13629919290542603
agglomerative,0.02,1994,999,0.3790153963124881,0.13353180885314941
agglomerative,0.02,2050,999,0.38965976050180573,0.13030380010604858
agglomerative,0.02,2105,999,0.4001140467591713,0.12737363576889038
agglomerative,0.02,2160,999,0.4105683330165368,0.12440437078475952
agglomerative,0.02,2216,999,0.4212126972058544,0.12050288915634155
agglomerative,0.02,2271,999,0.4316669834632199,0.1175183653831482
agglomerative,0.02,2326,999,0.44212126972058546,0.11465060710906982
agglomerative,0.02,2382,999,0.45276563390990304,0.1119648814201355
agglomerative,0.02,2437,999,0.4632199201672686,0.10917001962661743
agglomerative,0.02,2493,999,0.4738642843565862,0.10622227191925049
agglomerative,0.02,2548,999,0.4843185706139517,0.10317736864089966
agglomerative,0.02,2603,999,0.4947728568713172,0.10010296106338501
agglomerative,0.02,2659,999,0.5054172210606349,0.09711021184921265
agglomerative,0.02,2714,999,0.5158715073180004,0.09375131130218506
agglomerative,0.02,2769,999,0.5263257935753659,0.0907248854637146
agglomerative,0.02,2825,999,0.5369701577646835,0.08808696269989014
agglomerative,0.02,2880,999,0.547424444022049,0.08492696285247803
agglomerative,0.02,2936,999,0.5580688082113666,0.08232557773590088
agglomerative,0.02,2991,999,0.5685230944687322,0.0794907808303833
agglomerative,0.02,3046,999,0.5789773807260977,0.07675081491470337
agglomerative,0.02,3102,999,0.5896217449154153,0.07412564754486084
agglomerative,0.02,3157,999,0.6000760311727809,0.07114219665527344
agglomerative,0.02,3212,999,0.6105303174301464,0.06834566593170166
agglomerative,0.02,3268,999,0.621174681619464,0.06537818908691406
agglomerative,0.02,3323,999,0.6316289678768295,0.06254845857620239
agglomerative,0.02,3378,999,0.642083254134195,0.05993276834487915
agglomerative,0.02,3434,999,0.6527276183235127,0.057363927364349365
agglomerative,0.02,3489,999,0.6631819045808781,0.05474412441253662
agglomerative,0.02,3545,999,0.6738262687701958,0.052416443824768066
agglomerative,0.02,3600,999,0.6842805550275614,0.05016261339187622
agglomerative,0.02,3655,999,0.6947348412849268,0.048027634620666504
agglomerative,0.02,3711,999,0.7053792054742445,0.045967280864715576
agglomerative,0.02,3766,999,0.7158334917316099,0.043714284896850586
agglomerative,0.02,3821,999,0.7262877779889755,0.041697025299072266
agglomerative,0.02,3877,999,0.7369321421782931,0.03981727361679077
agglomerative,0.02,3932,999,0.7473864284356586,0.03797781467437744
agglomerative,0.02,3988,999,0.7580307926249762,0.03635376691818237
agglomerative,0.02,4043,999,0.7684850788823417,0.03449881076812744
agglomerative,0.02,4098,999,0.7789393651397073,0.03274446725845337
agglomerative,0.02,4154,999,0.7895837293290249,0.031235218048095703
agglomerative,0.02,4209,999,0.8000380155863904,0.029814958572387695
agglomerative,0.02,4264,999,0.810492301843756,0.028199195861816406
agglomerative,0.02,4320,999,0.8211366660330736,0.026737570762634277
agglomerative,0.02,4375,999,0.8315909522904391,0.025334537029266357
agglomerative,0.02,4430,999,0.8420452385478046,0.02358400821685791
agglomerative,0.02,4486,999,0.8526896027371222,0.022075235843658447
agglomerative,0.02,4541,999,0.8631438889944877,0.020731449127197266
agglomerative,0.02,4597,999,0.8737882531838054,0.019293785095214844
agglomerative,0.02,4652,999,0.8842425394411709,0.01798766851425171
agglomerative,0.02,4707,999,0.8946968256985364,0.016705751419067383
agglomerative,0.02,4763,999,0.9053411898878541,0.015252470970153809
agglomerative,0.02,4818,999,0.9157954761452195,0.013816118240356445
agglomerative,0.02,4873,999,0.926249762402585,0.012338101863861084
agglomerative,0.02,4929,999,0.9368941265919026,0.010680198669433594
agglomerative,0.02,4984,999,0.9473484128492682,0.009021639823913574
agglomerative,0.02,5040,999,0.9579927770385859,0.00724184513092041
agglomerative,0.02,5095,999,0.9684470632959513,0.0052343010902404785
agglomerative,0.02,5150,999,0.9789013495533169,0.0029491186141967773
agglomerative,0.02,5206,999,0.9895457137426344,0.000409543514251709
agglomerative,0.02,5261,999,1.0,0.0
agglomerative,0.03,1,999,0.00019007793195210037,0.5577239990234375
agglomerative,0.03,56,999,0.01064436418931762,0.40802115201950073
agglomerative,0.03,112,999,0.02128872837863524,0.34705406427383423
agglomerative,0.03,167,999,0.03174301463600076,0.31969451904296875
agglomerative,0.03,222,999,0.04219730089336628,0.3009956479072571
agglomerative,0.03,278,999,0.0528416650826839,0.28765755891799927
agglomerative,0.03,333,999,0.06329595134004942,0.27822232246398926
agglomerative,0.03,389,999,0.07394031552936704,0.26988399028778076
agglomerative,0.03,444,999,0.08439460178673255,0.26128411293029785
agglomerative,0.03,499,999,0.09484888804409808,0.25438392162323
agglomerative,0.03,555,999,0.1054932522334157,0.247738778591156
agglomerative,0.03,610,999,0.11594753849078122,0.24092888832092285
agglomerative,0.03,665,999,0.12640182474814673,0.23447483777999878
agglomerative,0.03,721,999,0.13704618893746437,0.22737926244735718
agglomerative,0.03,776,999,0.14750047519482987,0.22208213806152344
agglomerative,0.03,832,999,0.1581448393841475,0.21480590105056763
agglomerative,0.03,887,999,0.16859912564151303,0.21081817150115967
agglomerative,0.03,942,999,0.17905341189887855,0.20681285858154297
agglomerative,0.03,998,999,0.18969777608819616,0.20176690816879272
agglomerative,0.03,1053,999,0.20015206234556168,0.19738554954528809
agglomerative,0.03,1108,999,0.2106063486029272,0.19374418258666992
agglomerative,0.03,1164,999,0.2212507127922448,0.18903589248657227
agglomerative,0.03,1219,999,0.23170499904961034,0.18362587690353394
agglomerative,0.03,1274,999,0.24215928530697586,0.18021810054779053
agglomerative,0.03,1330,999,0.25280364949629347,0.1761791706085205
agglomerative,0.03,1385,999,0.263257935753659,0.17245244979858398
agglomerative,0.03,1441,999,0.2739022999429766,0.16738677024841309
agglomerative,0.03,1496,999,0.28435658620034215,0.16434210538864136
agglomerative,0.03,1551,999,0.29481087245770765,0.16124027967453003
agglomerative,0.03,1607,999,0.3054552366470253,0.15726375579833984
agglomerative,0.03,1662,999,0.3159095229043908,0.15383416414260864
agglomerative,0.03,1717,999,0.32636380916175634,0.14979779720306396
agglomerative,0.03,1773,999,0.3370081733510739,0.1462957262992859
agglomerative,0.03,1828,999,0.34746245960843947,0.1435028314590454
agglomerative,0.03,1884,999,0.3581068237977571,0.1399674415588379
agglomerative,0.03,1939,999,0.3685611100551226,0.13629919290542603
agglomerative,0.03,1994,999,0.3790153963124881,0.13353180885314941
agglomerative,0.03,2050,999,0.38965976050180573,0.13030380010604858
agglomerative,0.03,2105,999,0.4001140467591713,0.12737363576889038
agglomerative,0.03,2160,999,0.4105683330165368,0.12440437078475952
agglomerative,0.03,2216,999,0.4212126972058544,0.12050288915634155
agglomerative,0.03,2271,999,0.4316669834632199,0.1175183653831482
agglomerative,0.03,2326,999,0.44212126972058546,0.11465060710906982
agglomerative,0.03,2382,999,0.45276563390990304,0.1119648814201355
agglomerative,0.03,2437,999,0.4632199201672686,0.10917001962661743
agglomerative,0.03,2493,999,0.4738642843565862,0.10622227191925049
agglomerative,0.03,2548,999,0.4843185706139517,0.10317736864089966
agglomerative,0.03,2603,999,0.4947728568713172,0.10010296106338501
agglomerative,0.03,2659,999,0.5054172210606349,0.09711021184921265
agglomerative,0.03,2714,999,0.5158715073180004,0.09375131130218506
agglomerative,0.03,2769,999,0.5263257935753659,0.0907248854637146
agglomerative,0.03,2825,999,0.5369701577646835,0.08808696269989014
agglomerative,0.03,2880,999,0.547424444022049,0.08492696285247803
agglomerative,0.03,2936,999,0.5580688082113666,0.08232557773590088
agglomerative,0.03,2991,999,0.5685230944687322,0.0794907808303833
agglomerative,0.03,3046,999,0.5789773807260977,0.07675081491470337
agglomerative,0.03,3102,999,0.5896217449154153,0.07412564754486084
agglomerative,0.03,3157,999,0.6000760311727809,0.07114219665527344
agglomerative,0.03,3212,999,0.6105303174301464,0.06834566593170166
agglomerative,0.03,3268,999,0.621174681619464,0.06537818908691406
agglomerative,0.03,3323,999,0.6316289678768295,0.06254845857620239
agglomerative,0.03,3378,999,0.642083254134195,0.05993276834487915
agglomerative,0.03,3434,999,0.6527276183235127,0.057363927364349365
agglomerative,0.03,3489,999,0.6631819045808781,0.05474412441253662
agglomerative,0.03,3545,999,0.6738262687701958,0.052416443824768066
agglomerative,0.03,3600,999,0.6842805550275614,0.05016261339187622
agglomerative,0.03,3655,999,0.6947348412849268,0.048027634620666504
agglomerative,0.03,3711,999,0.7053792054742445,0.045967280864715576
agglomerative,0.03,3766,999,0.7158334917316099,0.043714284896850586
agglomerative,0.03,3821,999,0.7262877779889755,0.041697025299072266
agglomerative,0.03,3877,999,0.7369321421782931,0.03981727361679077
agglomerative,0.03,3932,999,0.7473864284356586,0.03797781467437744
agglomerative,0.03,3988,999,0.7580307926249762,0.03635376691818237
agglomerative,0.03,4043,999,0.7684850788823417,0.03449881076812744
agglomerative,0.03,4098,999,0.7789393651397073,0.03274446725845337
agglomerative,0.03,4154,999,0.7895837293290249,0.031235218048095703
agglomerative,0.03,4209,999,0.8000380155863904,0.029814958572387695
agglomerative,0.03,4264,999,0.810492301843756,0.028199195861816406
agglomerative,0.03,4320,999,0.8211366660330736,0.026737570762634277
agglomerative,0.03,4375,999,0.8315909522904391,0.025334537029266357
agglomerative,0.03,4430,999,0.8420452385478046,0.02358400821685791
agglomerative,0.03,4486,999,0.8526896027371222,0.022075235843658447
agglomerative,0.03,4541,999,0.8631438889944877,0.020731449127197266
agglomerative,0.03,4597,999,0.8737882531838054,0.019293785095214844
agglomerative,0.03,4652,999,0.8842425394411709,0.01798766851425171
agglomerative,0.03,4707,999,0.8946968256985364,0.016705751419067383
agglomerative,0.03,4763,999,0.9053411898878541,0.015252470970153809
agglomerative,0.03,4818,999,0.9157954761452195,0.013816118240356445
agglomerative,0.03,4873,999,0.926249762402585,0.012338101863861084
agglomerative,0.03,4929,999,0.9368941265919026,0.010680198669433594
agglomerative,0.03,4984,999,0.9473484128492682,0.009021639823913574
agglomerative,0.03,5040,999,0.9579927770385859,0.00724184513092041
agglomerative,0.03,5095,999,0.9684470632959513,0.0052343010902404785
agglomerative,0.03,5150,999,0.9789013495533169,0.0029491186141967773
agglomerative,0.03,5206,999,0.9895457137426344,0.000409543514251709
agglomerative,0.03,5261,999,1.0,0.0
agglomerative,0.04,1,999,0.00019007793195210037,0.5577240586280823
agglomerative,0.04,56,999,0.01064436418931762,0.40802115201950073
agglomerative,0.04,112,999,0.02128872837863524,0.34705406427383423
agglomerative,0.04,167,999,0.03174301463600076,0.31969451904296875
agglomerative,0.04,222,999,0.04219730089336628,0.3009956479072571
agglomerative,0.04,278,999,0.0528416650826839,0.28765755891799927
agglomerative,0.04,333,999,0.06329595134004942,0.27822232246398926
agglomerative,0.04,389,999,0.07394031552936704,0.26988399028778076
agglomerative,0.04,444,999,0.08439460178673255,0.26128411293029785
agglomerative,0.04,499,999,0.09484888804409808,0.25438392162323
agglomerative,0.04,555,999,0.1054932522334157,0.247738778591156
agglomerative,0.04,610,999,0.11594753849078122,0.24092888832092285
agglomerative,0.04,665,999,0.12640182474814673,0.23447483777999878
agglomerative,0.04,721,999,0.13704618893746437,0.22737926244735718
agglomerative,0.04,776,999,0.14750047519482987,0.22208213806152344
agglomerative,0.04,832,999,0.1581448393841475,0.21480590105056763
agglomerative,0.04,887,999,0.16859912564151303,0.21081817150115967
agglomerative,0.04,942,999,0.17905341189887855,0.20681285858154297
agglomerative,0.04,998,999,0.18969777608819616,0.20176690816879272
agglomerative,0.04,1053,999,0.20015206234556168,0.19738554954528809
agglomerative,0.04,1108,999,0.2106063486029272,0.19374418258666992
agglomerative,0.04,1164,999,0.2212507127922448,0.18903589248657227
agglomerative,0.04,1219,999,0.23170499904961034,0.18362587690353394
agglomerative,0.04,1274,999,0.24215928530697586,0.18021810054779053
agglomerative,0.04,1330,999,0.25280364949629347,0.1761791706085205
agglomerative,0.04,1385,999,0.263257935753659,0.17245244979858398
agglomerative,0.04,1441,999,0.2739022999429766,0.16738677024841309
